,0
0,556.0625
1,4900.3125
2,2043.625
3,-5412.96875
4,8287.328125
5,4013.182308959891
6,-500.7915451050503
7,5795.592068176484
8,118.7379492187174
9,-2434.112861328176
10,190.65846679685637
11,53.87000000011176
12,6136.84999999986
13,9083.040000000037
14,5270.620000000112
15,-8675.45000000007
16,-5455.320000000065
17,6196.189999999944
18,-2374.7900000000373
19,-1027.760761718615
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-728.5625
35,1631.875
36,5866.0
37,1228.875
38,3155.4921875
39,-4906.676376953139
40,-1033.003310546861
41,0.0
42,-184.0
43,-219.125
44,-1249.09375
45,2161.28125
46,4725.6875
47,-1001.5625
48,0.0
49,0.0
50,0.0
51,1334.375
52,-201.0
53,1869.75
54,-168.4375
55,-3879.375
56,-1923.09375
57,-3712.646484375
58,2586.525232849177
59,-1032.159998474177
60,0.0
61,0.0
